Harden Volume 1,Adidas,0.5,139.99,w
Harden Stepback,Adidas,0.5,79.99,r
Curry 8,Under Armour,-0.5,159.99,n
PG 4,Nike ,-0.5,109.99,n
Air Jordan 35,Jordan ,0,179.99,n
Air Jordan 32 Low,Jordan ,0,159.99,n
Kawhi 1,New Balance,0,159.99,r
Dame 6,Adidas,0.5,109.99,r
Kyrie 6,Nike ,-0.5,129.99,n
Air Jordan 34,Jordan ,0,179.99,r
D Rose 10,Adidas,1,139.99,r
CP3 12,Jordan ,0,99.99,n
DON Issue 1,Adidas,0.5,99.99,r
KD Trey 5 VII,Nike ,0,89.99,n
Mamba Focus,Nike ,0.5,99.99,xn
KD 12,Nike ,0,149.99,n
Kyrie Flytrap 2,Nike ,0,79.99,xn
Way of Wade 7,Li-Ning,1,164.99,r
Pro Bounce Low,Adidas,0.5,109.99,r
KD 11,Nike ,0.5,149.99,n
Fly Lockdown,Jordan ,0,109.99,r
Lebron 15 Low,Nike ,0.5,149.99,r
